画素 µm,px/骨梁,量子化だけ Tb.Th,BV/TV 固定 0.5,Tb.Th 平板 µm,BV/TV 大津,Tb.Th 直接 µm,Tb.Sp 直接 µm,消えた骨,分布重なり
10,10.5,-3.1 %,+0.2 %,112.4 (-7.5 %),+0.9 %,114.8 (-5.6 %),799 (-0.5 %),0.0 %,0.83
15,7.0,-4.4 %,+0.0 %,113.7 (-6.5 %),+1.7 %,114.8 (-5.6 %),794 (-1.1 %),0.0 %,0.74
20,5.2,-6.0 %,-0.1 %,113.9 (-6.3 %),+2.9 %,113.3 (-6.8 %),787 (-2.0 %),0.0 %,0.44
30,3.5,-14.3 %,+1.1 %,116.6 (-4.1 %),+8.3 %,109.6 (-9.9 %),772 (-3.9 %),0.0 %,0.21
40,2.6,-13.1 %,+0.1 %,118.7 (-2.4 %),+14.8 %,115.1 (-5.3 %),761 (-5.2 %),0.0 %,0.38
60,1.7,-29.5 %,-3.6 %,125.2 (+3.0 %),+27.1 %,130.4 (+7.3 %),730 (-9.1 %),0.0 %,0.09
