一辺 s	面積	δ=0.0 実/予	δ=0.5 実/予	δ=1.0 実/予	δ=2.0 実/予	δ=0+開 / δ=1+開
1	1	1.00/1.00	1.00/1.00	0.00/0.00	0.00/0.00	0.00 / 0.00
2	4	1.00/1.00	1.00/1.00	0.75/0.75	0.25/0.25	0.75 / 0.75
3	9	1.00/1.00	1.00/1.00	0.89/0.89	0.44/0.44	1.00 / 0.89
4	16	1.00/1.00	1.00/1.00	0.94/0.94	0.56/0.56	1.00 / 0.94
5	25	1.00/1.00	1.00/1.00	0.96/0.96	0.64/0.64	1.00 / 0.96
6	36	1.00/1.00	1.00/1.00	0.97/0.97	0.69/0.69	1.00 / 0.97
8	64	1.00/1.00	1.00/1.00	0.98/0.98	0.77/0.77	1.00 / 0.98
10	100	1.00/1.00	1.00/1.00	0.99/0.99	0.81/0.81	1.00 / 0.99
14	196	1.00/1.00	1.00/1.00	0.99/0.99	0.86/0.86	1.00 / 0.99
