θ 真値 [deg]	θ_est [deg]	α 半和 [deg]	P 生 [%]	P 補正 [%]	P 左 生 [%]	P 左 補正 [%]	d2 生 [%]	d2 同じx [%]	d2 補正 [%]
0.0	0.04	29.947	-0.186	+0.018	-0.01	-0.040	-0.009	-0.009	+0.005
0.5	0.52	29.943	-0.075	+0.004	+0.50	-0.017	-0.096	-0.007	-0.003
1.0	0.98	30.077	+0.098	+0.007	+1.00	+0.022	-0.180	+0.008	-0.002
1.5	1.49	30.116	+0.040	+0.008	+1.58	+0.005	-0.267	+0.044	+0.006
2.0	2.01	29.966	-0.086	+0.002	+2.11	-0.006	-0.384	+0.067	+0.005
2.5	2.51	29.992	-0.107	+0.002	+2.66	-0.005	-0.484	+0.112	+0.001
3.0	3.19	29.809	-0.117	-0.009	+3.28	-0.195	-0.642	+0.125	+0.033
