遮蔽 %,地面点 %,取りこぼし %,全滅セル,LoD std m,LoD MAD m,平均 DEM m3,誤差 %,中央値 DEM m3,誤差 %,3x3 窓 m3,誤差 %,空セル,しきい値以上の真値 m3,分類なし m3
0,100.0,0.00,0,0.162,0.153,159.8,+10.6,182.2,+26.2,168.6,+16.7,30,144.4,159.7
15,93.4,0.02,3,0.355,0.160,164.6,+14.6,182.0,+26.7,176.8,+23.1,40,143.6,500.4
30,86.7,0.08,3,0.521,0.166,164.7,+15.4,180.8,+26.7,173.9,+21.8,53,142.7,645.1
45,80.1,0.19,14,0.732,0.175,227.3,+60.6,243.7,+72.2,176.8,+25.0,83,141.5,692.2
60,73.6,0.71,36,1.450,0.192,307.3,+120.9,318.8,+129.1,167.5,+20.4,147,139.1,663.4
