SNR,手法,反射 0.0,反射 0.2,反射 0.4,反射 0.6,反射 0.8
+10 dB,生の相関 + サブサンプル,0.004 / -0.000,0.010 / -0.009,0.033 / -0.033,0.076 / -0.076,0.134 / -0.134
+10 dB,帯域制限 + サブサンプル,0.002 / -0.000,0.003 / -0.002,0.022 / -0.021,0.063 / -0.063,0.126 / -0.126
+10 dB,GCC-PHAT(全帯域),0.024 / -0.003,0.028 / -0.017,0.040 / -0.033,0.070 / -0.063,0.114 / -0.112
+10 dB,GCC-PHAT(帯域内),0.002 / -0.000,0.018 / -0.018,0.039 / -0.038,0.068 / -0.068,0.121 / -0.121
+0 dB,生の相関 + サブサンプル,0.030 / -0.009,0.033 / -0.014,0.041 / -0.027,0.077 / -0.064,0.139 / -0.130
+0 dB,帯域制限 + サブサンプル,0.010 / -0.001,0.011 / -0.003,0.026 / -0.023,0.066 / -0.065,0.128 / -0.128
+0 dB,GCC-PHAT(全帯域),0.040 / -0.006,0.042 / -0.011,0.058 / -0.030,0.084 / -0.065,0.131 / -0.117
+0 dB,GCC-PHAT(帯域内),0.010 / -0.003,0.018 / -0.015,0.040 / -0.038,0.079 / -0.078,0.135 / -0.134
