手法	CSF [%]	GM [%]	WM [%]	GM+WM [%]	CV b̂/b [%]
ゼロ点(補正なし)	-0.02	+20.17	-7.65	+0.00	7.99
素朴: log I に 2 次多項式面	+0.28	+82.54	-31.43	-0.06	17.13
素朴: log I にガウス σ24	-0.04	+36.10	-13.70	+0.01	6.23
Wells 型: 2 次多項式面	+0.00	+1.58	-0.60	+0.00	0.72
Wells 型: ガウス σ24	+0.00	+1.69	-0.64	+0.00	0.48
Wells 型: 格子 B スプライン h32	-0.02	+1.86	-0.70	+0.00	0.84
Wells 型: fit_bspline_surface(自動)	+0.00	+1.64	-0.62	+0.00	1.53
dc_homomorphic op(最良 cutoff) a=0.00	+253.57	+1.93	-81.46	-58.51	-
理想補正(真の b)	-0.02	+1.83	-0.69	+0.00	0.00
